127.0.0.1 - - [06/Feb/2024:18:16:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Feb/2024:18:16:51 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2839
0:0:0:0:0:0:0:1 - - [06/Feb/2024:18:16:51 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [06/Feb/2024:18:16:51 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [06/Feb/2024:18:16:55 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1913
0:0:0:0:0:0:0:1 - - [06/Feb/2024:18:16:56 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1913
0:0:0:0:0:0:0:1 - - [06/Feb/2024:18:16:58 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2660
0:0:0:0:0:0:0:1 - - [06/Feb/2024:18:17:01 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 2839
0:0:0:0:0:0:0:1 - - [06/Feb/2024:18:17:02 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2985
0:0:0:0:0:0:0:1 - - [06/Feb/2024:18:17:05 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [06/Feb/2024:18:17:06 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2660
0:0:0:0:0:0:0:1 - - [06/Feb/2024:18:17:07 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1913
0:0:0:0:0:0:0:1 - - [06/Feb/2024:18:28:39 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1913
0:0:0:0:0:0:0:1 - - [06/Feb/2024:18:28:39 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2024:18:28:39 +0900] "GET /BBS/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2024:18:28:39 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1913
